,GDP,FEDR,CPI,Loan
1977-04-01,0.445018544,0.712649702,-3.735667112,0.62872092
1977-07-01,0.560865441,0.764922985,-3.723642364,0.661403749
1977-10-01,0.427769185,0.813580989,-3.503150955,0.71036516
1978-01-01,0.243160132,0.829946696,-3.531825892,0.761758897
1978-04-01,0.479469921,0.862131379,-4.256979609,0.799767781
1978-07-01,0.590045402,0.908485019,-4.971808384,0.799864003
1978-10-01,0.702884282,0.981365509,-5.516452157,0.777969223
1979-01-01,0.286212234,1.003029471,-5.814253273,0.749079483
1979-04-01,0.188665656,1.007747778,-6.619964969,0.762818348
1979-07-01,0.11806187,1.039414119,-7.493906806,0.786329072
1979-10-01,0.124994409,1.13289977,-8.204842509,0.698965548
1980-01-01,0.147916383,1.1775365,-9.097736317,0.687131289
1980-04-01,-0.167182015,1.103461622,-9.500023368,0.444909824
1980-07-01,-0.213885212,0.992995098,-8.587507231,0.453938541
1980-10-01,-0.041428822,1.200029267,-7.826157016,0.404652489
1981-01-01,0.425921873,1.219322508,-7.489587265,0.542774635
1981-04-01,0.359772355,1.249931757,-7.846087452,0.553845202
1981-07-01,0.279826544,1.245018871,-8.058883742,0.527501916
1981-10-01,-0.086982405,1.133219457,-7.072511555,0.473287626
1982-01-01,-0.195554913,1.1532049,-5.908917617,0.37400332
1982-04-01,-0.263332915,1.161667412,-4.571502941,0.307486932
1982-07-01,-0.171055632,1.041787319,-4.788199434,0.273964291
1982-10-01,0.031809019,0.968015714,-4.146787704,0.275389189
1983-01-01,0.118333037,0.937016107,-2.554566127,0.293514759
1983-04-01,0.416440502,0.944482672,-1.897473233,0.34469797
1983-07-01,0.626159344,0.975891136,-2.733758036,0.438476353
1983-10-01,0.709357267,0.974511693,-3.893891354,0.507784208
1984-01-01,0.67476483,0.986323777,-4.277926381,0.604943586
1984-04-01,0.650916795,1.023663918,-4.290108736,0.677245291
1984-07-01,0.529415067,1.056523724,-4.178753444,0.661134399
1984-10-01,0.396036499,0.967079734,-3.528601014,0.632245426
1985-01-01,0.310676516,0.928395852,-3.540100103,0.604548201
1985-04-01,0.302732178,0.898725182,-3.635674974,0.599432933
1985-07-01,0.386654225,0.897627091,-3.350767834,0.592589645
1985-10-01,0.359107387,0.908485019,-3.533151955,0.725536295
1986-01-01,0.359998289,0.893761762,-3.032937561,0.690053139
1986-04-01,0.237878666,0.840106094,-1.485161293,0.643553179
1986-07-01,0.266240761,0.7930916,-0.923199824,0.46121632
1986-10-01,0.220619024,0.797267541,-1.18867031,0.528767735
1987-01-01,0.247170265,0.793790385,-3.615359998,0.468484322
1987-04-01,0.259490903,0.822821645,-4.400034726,0.449237773
1987-07-01,0.302337779,0.835056102,-4.973426587,0.377791861
1987-10-01,0.406821023,0.840106094,-4.657657812,0.363033214
1988-01-01,0.344596908,0.823474229,-4.205728608,0.357512337
1988-04-01,0.389798868,0.854913022,-4.405757248,0.363648207
